Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,RSI,MACD,Signal,Stoch,ATR,OBV,ADX
2/3/2017,1029.910034,1033.869995,1008.789978,1011.460022,201278000,920.1815002,943.7442593,68.95773429,19.62322794,2.377146113,98.58948306,31.47328783,1708902724,17.15064013
2/4/2017,1042.900024,1045.900024,1015.159973,1031.329956,155064000,931.2366028,953.1876655,70.53436413,25.012543,6.90422549,97.96998109,31.41632943,1863966724,19.85561981
2/5/2017,1027.339966,1043.630005,1022.369995,1043.52002,114208000,941.0269012,960.2497894,66.19722644,27.70863937,11.06510827,94.4113947,30.6322805,1749758724,22.26964954
2/6/2017,1038.150024,1044.640015,1028.160034,1028.400024,111762000,947.5375031,967.6688594,67.68392383,30.36753847,14.92559431,93.6645946,29.6089612,1861520724,24.45450933
2/7/2017,1061.349976,1061.930054,1040.140015,1040.140015,146007008,956.2741028,976.5908704,70.66579124,33.95536107,18.73154766,94.19946988,29.1639304,2007527732,26.79591811
2/8/2017,1063.069946,1078.969971,1037.48999,1062.319946,201855008,964.4739502,984.8269729,70.88031483,36.51658315,22.28855476,95.21259097,30.09963989,2209382740,29.23878424
2/9/2017,994.3829956,1088.98999,953.3439941,1064.699951,407220000,969.4417999,985.7370703,53.92135142,32.62779432,24.35640267,78.67421354,38.08221295,1802162740,27.51267704
2/10/2017,988.6740112,998.9050293,946.690979,995.632019,190452000,972.7860504,986.016779,52.79077224,28.75377817,25.23587777,59.09969149,39.14654474,1611710740,25.72485588
2/11/2017,1004.450012,1009.289978,982.8300171,988.8980103,102261000,976.7749023,987.772325,55.56347345,26.64938636,25.51857949,45.50646108,38.19475998,1713971740,24.41400045
2/12/2017,999.1810303,1004.76001,996.9210205,1003.52002,67530000,980.6833527,988.8588683,54.4139939,24.27663198,25.27018999,46.06013097,35.92553737,1646441740,23.22244169
2/13/2017,990.6420288,1002.099976,976.0020142,998.8850098,100607000,985.5811035,989.0286931,52.51779705,21.4598057,24.50811313,46.23834776,35.1933195,1545834740,21.3786013
2/14/2017,1004.549988,1011.51001,986.4710083,991.7349854,137946000,990.7315033,990.5069117,55.25292986,20.11780115,23.63005073,43.05029076,34.43907871,1683780740,20.01533697
2/15/2017,1007.47998,1008.840027,1001.580017,1006.210022,89759400,995.2262024,992.1233944,55.83017601,19.070842,22.71820899,41.61657091,32.42601197,1773540140,18.77027057
2/16/2017,1027.439941,1033.369995,1007.650024,1007.650024,122277000,1000.610699,995.4868751,59.64899146,19.62549092,22.09966537,46.70844652,31.94318536,1895817140,18.44282602
2/17/2017,1046.209961,1053.170044,1025.640015,1026.119995,136474000,1006.841696,1000.317645,62.89758173,21.3337161,21.94647552,56.46723373,31.61797169,2032291140,18.71382829
2/18/2017,1054.420044,1061.099976,1046.959961,1049.209961,99073504,1013.5879,1005.470255,64.25322349,23.08388528,22.17395747,67.46287431,30.38804115,2131364644,19.17784174
2/19/2017,1047.869995,1056.810059,1043.459961,1054.76001,77423296,1019.962299,1009.508325,62.29755431,23.66952522,22.47307102,72.24858424,29.13794003,2053941348,19.44350482
2/20/2017,1079.97998,1080.48999,1041.689941,1048.689941,109478000,1025.441147,1016.219911,67.51712915,26.42010206,23.26247723,80.15916146,29.8454896,2163419348,20.32891016
2/21/2017,1115.300049,1117.25,1076.930054,1079.280029,186868992,1031.754999,1025.656115,72.09364374,31.09158393,24.82829857,87.87603015,30.61114809,2350288340,21.94775404
2/22/2017,1117.439941,1125.390015,1100.550049,1114.800049,136100000,1037.036996,1034.397432,72.34783738,34.56796049,26.77623095,96.02537435,30.18999101,2486388340,23.59286387
2/23/2017,1166.719971,1176.619995,1116.959961,1117.27002,189454000,1043.877493,1046.999578,77.4434641,40.82885089,29.58675494,96.70072675,32.33727072,2675842340,25.92670956
2/24/2017,1173.680054,1200.390015,1131.959961,1172.709961,330759008,1050.416495,1059.064385,78.05844834,45.82404115,32.83421218,93.11399323,34.96333677,3006601348,28.37652153
2/25/2017,1143.839966,1174.849976,1124.589966,1170.410034,139960992,1056.241495,1067.13825,69.33096213,46.83503458,35.63437666,86.19631246,36.0748252,2866640356,30.29578119
2/26/2017,1165.199951,1167.469971,1130.199951,1144.27002,116486000,1062.593991,1076.47746,71.76456277,48.79732133,38.26696559,82.40397986,36.16156354,2983126356,32.06568195
2/27/2017,1179.969971,1181.97998,1163.380005,1163.780029,131570000,1068.524991,1086.333889,73.33990753,50.95686582,40.80494564,83.18990711,34.88853011,3114696356,33.90767601
2/28/2017,1179.969971,1193.25,1171.819946,1180.719971,184956000,1074.369992,1095.251611,73.33990753,52.0681116,43.05757883,88.16683005,33.91396391,3114696356,35.76367187
3/1/2017,1222.5,1222.5,1179.689941,1180.040039,229056992,1085.775842,1107.370506,77.52711032,55.73808586,45.59368024,93.39439174,34.55752177,3343753348,37.84100208
3/2/2017,1251.01001,1262.130005,1215.619995,1224.680054,368275008,1098.892642,1121.050458,79.81567381,60.25253273,48.52545074,95.00892165,35.42139531,3712028356,40.15634943
3/3/2017,1274.98999,1280.310059,1250.709961,1250.709961,315739008,1112.419641,1135.711366,81.52032138,65.0157869,51.82351797,97.68946218,35.00101347,4027767364,42.45105391
3/4/2017,1255.150024,1279.400024,1230.51001,1277.430054,183270000,1125.218091,1147.086477,75.81534024,66.4240852,54.74363142,94.17480543,36.00321252,3844497364,43.62006705
3/5/2017,1267.119995,1267.290039,1238.060059,1254.290039,134127000,1139.041989,1158.51824,76.86718967,67.72535264,57.33997566,93.89962499,35.51482747,3978624364,44.70120715
3/6/2017,1272.829956,1276,1264.599976,1267.469971,153656992,1152.455988,1169.40507,77.37274672,68.42856074,59.55769268,93.41683132,33.77720116,4132281356,45.81241396
3/7/2017,1223.540039,1275.550049,1204.800049,1273.209961,291256000,1163.25899,1174.560782,64.30761464,64.26773541,60.49970122,86.40448606,36.43965696,3841025356,44.36068866
3/8/2017,1150,1232.160034,1148.079956,1223.22998,332603008,1169.386993,1172.22166,50.58348057,54.40899181,59.28155934,61.65587284,39.86830346,3508422348,41.38049449
3/9/2017,1188.48999,1197.459961,1141.22998,1150.349976,212283008,1176.500995,1173.771024,55.88954716,49.13528603,57.25230468,43.22689863,41.04520512,3720705356,38.4507392
3/10/2017,1116.719971,1270.469971,1077.25,1189.359985,563795968,1179.615991,1168.337591,45.9763268,38.71827526,53.5454988,26.89976218,51.98570388,3156909388,37.22150569
3/11/2017,1175.829956,1193.829956,1116.319946,1116.319946,283320000,1186.013989,1169.051149,53.32006057,34.83089214,49.80257747,36.33998633,53.81990182,3440229388,36.08299526
3/12/2017,1221.380005,1226.97998,1175.359985,1176.619995,227176000,1193.08399,1174.03485,58.05217208,35.0219105,46.84644407,46.32125976,53.66188299,3667405388,35.58616588
3/13/2017,1231.920044,1237.369995,1217.030029,1221.780029,380276992,1198.91499,1179.547725,59.08573634,35.6132595,44.59980716,65.23193313,51.26933674,4047682380,35.29005022
3/14/2017,1240,1244.810059,1220.719971,1232.160034,245306000,1205.042993,1185.305085,59.90139552,36.31527291,42.94290031,75.76576967,49.31856656,4292988380,35.13514871
3/15/2017,1249.609985,1251.609985,1239.75,1240.160034,297804992,1209.187494,1191.429361,60.89981088,37.21804266,41.79792878,80.39986342,46.63093407,4590793372,35.10360544
3/16/2017,1187.810059,1257.97998,1152.439941,1251.329956,638568000,1209.893994,1191.084666,51.94290257,32.57129498,39.95260202,73.15898673,50.85627397,3952225372,32.71298957
